Date;Time UTC;latitude;longitude;depth;Depth Type;mag Type;mag;Region Name;Last Update;Eqid;
2014-05-19;06:27:21;40.37;25.99;12; ;ML;2.5;AEGEAN SEA;2014-05-19 11:16;379028;
2014-05-17;05:19:03;40.38;25.73;9; ;ML;2.4;AEGEAN SEA;2014-05-17 05:25;379227;
2014-05-14;10:36:44;40.36;25.89;14; ;ML;2.4;AEGEAN SEA;2014-05-14 13:16;378140;
2014-05-14;09:18:37;40.39;25.84;2; ;ML;2.7;AEGEAN SEA;2014-05-14 14:40;378129;
2014-05-14;09:05:54;40.39;25.94;5; ;ML;2.1;AEGEAN SEA;2014-05-14 09:22;418251;
2014-05-13;22:42:41;40.15;24.05;10; ;ML;2.0;AEGEAN SEA;2014-06-10 05:50;384377;
2014-05-12;01:57:17;40.16;24.94;10; ;ML;2.8;AEGEAN SEA;2014-05-12 06:44;377638;
2014-05-09;13:25:35;40.38;26.16;15; ;ML;2.1;WESTERN TURKEY;2014-05-09 13:31;418079;
2014-05-04;03:15:31;40.22;25.19;9; ;ML;2.2;AEGEAN SEA;2014-05-04 13:58;376246;
2014-04-27;07:34:31;40.41;26.25;6; ;ML;2.4;WESTERN TURKEY;2014-04-27 07:45;374968;
2014-04-25;23:11:24;40.45;25.80;12; ;ML;2.3;AEGEAN SEA;2014-04-26 02:51;417882;
2014-04-24;01:08:58;40.46;26.43;6; ;ML;2.1;WESTERN TURKEY;2014-04-24 04:03;417853;
2014-04-23;19:59:21;39.86;24.35;20; ;ML;2.0;AEGEAN SEA;2014-04-24 12:36;374392;
2014-04-22;18:41:42;40.45;26.46;8; ;ML;3.2;WESTERN TURKEY;2014-04-23 06:30;374044;
2014-04-22;18:27:09;40.46;26.45;8; ;ML;3.5;WESTERN TURKEY;2014-04-23 06:26;374031;
2014-04-22;15:22:39;40.46;26.46;6; ;ML;2.3;WESTERN TURKEY;2014-04-23 06:24;373992;
2014-04-19;16:12:23;40.36;26.18;16; ;ML;2.5;WESTERN TURKEY;2014-04-19 18:17;373374;
2014-04-14;12:42:29;39.98;24.26;19; ;ML;2.0;AEGEAN SEA;2014-04-14 13:00;372216;
2014-04-11;07:23:08;40.25;25.86;7; ;ML;2.7;AEGEAN SEA;2014-04-11 07:48;371336;
