Time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-06T03:17:13.500Z,35.7453333,-117.5608333,6.5,4.14,ml,27,68,0.07632,0.15,ci,ci37257780,2020-02-06T19:48:24.565Z,"14km W of Searles Valley, CA",earthquake,0.21,0.57,0.095,15,reviewed,ci,ci
2019-07-06T03:16:32.480Z,35.7253333,-117.5535,0.88,4.97,mw,83,35,0.09705,0.19,ci,ci38457487,2020-04-05T23:26:37.030Z,"14km WSW of Searles Valley, CA",earthquake,0.13,0.31,,6,reviewed,ci,ci
2019-07-06T00:51:25.700Z,35.7501667,-117.5841667,6.6,3.67,mlr,70,43,0.06633,0.14,ci,ci38456615,2022-06-16T17:43:58.847Z,"16km W of Searles Valley, CA",earthquake,0.09,0.28,0.188,61,reviewed,ci,ci
2019-07-06T00:13:02.720Z,35.7281667,-117.5618333,3.13,3.5,ml,57,44,0.09208,0.21,ci,ci38456351,2022-06-19T00:29:18.255Z,"15km WSW of Searles Valley, CA",earthquake,0.15,0.63,0.17,38,reviewed,ci,ci
2019-07-05T22:38:23.380Z,35.7755,-117.6036667,2.5,3.07,ml,54,42,0.04046,0.14,ci,ci38455679,2019-09-26T14:30:22.040Z,"18km W of Searles Valley, CA",earthquake,0.11,0.27,0.096,31,reviewed,ci,ci
2019-07-05T17:59:56.230Z,35.793,-117.615,4.01,3.41,ml,62,42,0.02678,0.14,ci,ci38453719,2019-09-26T14:30:21.040Z,"19km W of Searles Valley, CA",earthquake,0.1,0.22,0.134,32,reviewed,ci,ci
2019-07-05T17:02:36.510Z,35.6175,-117.5796667,10.83,3.84,mw,81,33,0.1006,0.15,ci,ci38453279,2019-09-26T14:30:21.040Z,"9km E of Ridgecrest, CA",earthquake,0.09,0.21,,4,reviewed,ci,ci
2019-07-05T15:46:03.860Z,35.6995,-117.4841667,1.41,3,ml,65,23,0.1142,0.13,ci,ci38452607,2019-09-26T14:30:20.040Z,"10km SW of Searles Valley, CA",earthquake,0.09,0.22,0.128,53,reviewed,ci,ci
2019-07-05T14:39:33.450Z,35.7421667,-117.5666667,2.89,3.94,mw,70,44,0.07758,0.15,ci,ci38452095,2019-09-26T14:30:20.040Z,"15km W of Searles Valley, CA",earthquake,0.1,0.26,,6,reviewed,ci,ci
2019-07-05T12:55:04.830Z,35.7515,-117.5643333,7.35,3.65,mw,70,44,0.06955,0.15,ci,ci38451239,2020-06-04T03:27:09.140Z,"15km W of Searles Valley, CA",earthquake,0.1,0.39,,4,reviewed,ci,ci
