#EventID,Time,latitude,longitude,depth,Author,Catalog,Contributor,ContributorID,MagType,mag,MagAuthor,EventLocationName
20230204_0000057,2023-02-04T08:22:18.2Z,37.45,36.33,5.0,EMSC,EMSC-RTS,EMSC,1217961,ml,2.9,EMSC,CENTRAL TURKEY
20230203_0000069,2023-02-03T11:05:08.9Z,37.2,36.42,5.0,EMSC,EMSC-RTS,EMSC,1217674,mb,4.2,EMSC,CENTRAL TURKEY
20230129_0000138,2023-01-29T16:12:39.1Z,35.78,35.73,10.0,EMSC,EMSC-RTS,EMSC,1216181,mb,4.3,EMSC,NEAR THE COAST OF SYRIA
20230125_0000039,2023-01-25T06:06:11.6Z,37.85,36.05,7.0,EMSC,EMSC-RTS,EMSC,1214536,ml,2.8,EMSC,CENTRAL TURKEY
20230125_0000031,2023-01-25T05:21:24.3Z,37.79,36.1,1.0,EMSC,EMSC-RTS,EMSC,1214525,ml,2.5,EMSC,CENTRAL TURKEY
20230124_0000218,2023-01-24T21:40:45.2Z,37.7,35.44,4.0,EMSC,EMSC-RTS,EMSC,1214411,ml,2.9,EMSC,CENTRAL TURKEY
20230122_0000023,2023-01-22T02:28:41.9Z,38.5,36.63,7.0,EMSC,EMSC-RTS,EMSC,1213365,ml,3.0,EMSC,CENTRAL TURKEY
20230121_0000210,2023-01-21T20:47:13.4Z,36.63,36.59,10.0,ISK,EMSC-RTS,ISK,1213272,ml,3.1,ISK,TURKEY-SYRIA BORDER REGION
20230121_0000097,2023-01-21T10:51:49.9Z,38.5,36.63,8.0,EMSC,EMSC-RTS,EMSC,1213117,ml,2.7,EMSC,CENTRAL TURKEY
20230119_0000199,2023-01-19T23:04:29.4Z,37.02,36.05,11.0,EMSC,EMSC-RTS,EMSC,1212569,ml,2.7,EMSC,CENTRAL TURKEY
20230118_0000128,2023-01-18T13:30:48.0Z,36.99,36.04,6.0,EMSC,EMSC-RTS,EMSC,1211989,ml,3.3,EMSC,TURKEY-SYRIA BORDER REGION
20230117_0000133,2023-01-17T18:22:40.1Z,37.32,36.39,5.0,EMSC,EMSC-RTS,EMSC,1211635,ml,3.1,EMSC,CENTRAL TURKEY
20230112_0000154,2023-01-12T20:40:52.0Z,35.69,36.75,10.0,EMSC,EMSC-RTS,EMSC,1209961,mb,4.3,EMSC,SYRIA
20230110_0000078,2023-01-10T08:54:02.1Z,37.41,34.53,8.0,ISK,EMSC-RTS,ISK,1208984,ml,2.7,ISK,CENTRAL TURKEY
20230105_0000098,2023-01-05T13:48:35.8Z,37.4,37.1,5.0,EMSC,EMSC-RTS,EMSC,1207242,ml,2.5,EMSC,CENTRAL TURKEY
20230103_0000160,2023-01-03T15:59:56.9Z,38.76,35.36,10.0,EMSC,EMSC-RTS,EMSC,1206648,ml,2.5,EMSC,CENTRAL TURKEY
20230102_0000008,2023-01-02T01:51:45.2Z,37.4,37.09,5.0,EMSC,EMSC-RTS,EMSC,1206034,ml,2.9,EMSC,CENTRAL TURKEY
20221228_0000050,2022-12-28T08:21:20.6Z,37.52,36.14,8.0,ISK,EMSC-RTS,ISK,1204509,ml,2.5,ISK,CENTRAL TURKEY
20221227_0000144,2022-12-27T18:15:07.1Z,37.38,37.11,6.0,EMSC,EMSC-RTS,EMSC,1204313,ml,3.6,EMSC,CENTRAL TURKEY
20221226_0000060,2022-12-26T08:03:26.2Z,37.21,36.08,6.0,EMSC,EMSC-RTS,EMSC,1203849,ml,2.9,EMSC,CENTRAL TURKEY
20221224_0000032,2022-12-24T02:23:51.2Z,37.43,37.16,7.0,EMSC,EMSC-RTS,EMSC,1203198,ml,2.6,EMSC,CENTRAL TURKEY
20221223_0000124,2022-12-23T17:23:35.1Z,37.26,36.96,2.0,EMSC,EMSC-RTS,EMSC,1203073,ml,4.0,EMSC,CENTRAL TURKEY
20221223_0000003,2022-12-23T00:40:11.5Z,37.43,37.18,7.0,EMSC,EMSC-RTS,EMSC,1202855,ml,2.6,EMSC,CENTRAL TURKEY
